Item#1 | theme=社区技术讨论 / 生态兼容 | date=2026-03-13T05:20:34.869Z | title=大家怎么看待国内各大厂商出来的各种云部署 OpenClaw 的活动？ - V2EX | url=https://v2ex.com/t/1197921 | evidence=大家怎么看待国内各大厂商出来的各种云部署 OpenClaw 的活动？ - V2EX | The webpage discusses domestic Chinese tech companies' promotion of OpenClaw, a cloud deployment platform, highlighting concerns about their motives—whether for data collection or cloud service sales. The community questions the push f…

Item#2 | theme=其他条目 | date=2026-03-13T00:00:00.000Z | title=feat(exec): propagate NO_DNA to child commands · Pull Request #44947 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/44947 | evidence=feat(exec): propagate NO_DNA to child commands · Pull Request #44947 · openclaw/openclaw | This pull request addresses a technical issue in OpenClaw where child processes did not inherit the `NO_DNA` marker, which is essential for downstream tools to recognize non-human executio…

Item#3 | theme=其他条目 | date=2026-03-13T00:00:00.000Z | title=[Bug]: 2026.3.12 Memory Leak - OOM on basic commands (gateway status, doctor) · Issue #45064 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/45064 | evidence=[Bug]: 2026.3.12 Memory Leak - OOM on basic commands (gateway status, doctor) · Issue #45064 · openclaw/openclaw | The GitHub issue reports a critical bug in OpenClaw version 2026.3.12, where executing basic CLI commands like `gateway status` or `doctor` causes a JavaScript heap…

Item#4 | theme=Workspace / 配置 / 路由 | date=2026-03-13T00:00:00.000Z | title=[Bug]: WhatsApp outbound send path broken: auto-reply works, message tool / CLI send fails with "No active WhatsApp Web listener" (2026.3.12) · Issue #45171 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/45171 | evidence=[Bug]: WhatsApp outbound send path broken: auto-reply works, message tool / CLI send fails with "No active WhatsApp Web listener" (2026.3.12) · Issue #45171 · openclaw/openclaw | The GitHub issue reports a regression in the openclaw project where outbound WhatsApp messaging fail…

Item#5 | theme=安全 / Secret / Auth | date=2026-03-13T00:00:00.000Z | title=add ModelScope API support · Pull Request #44871 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/44871 | evidence=add ModelScope API support · Pull Request #44871 · openclaw/openclaw | This pull request introduces support for the ModelScope API into the openclaw project, enabling users to access community-supported models via an API key. It involves 3 commits with 499 additions across 21 fi…

Item#6 | theme=Workspace / 配置 / 路由 | date=2026-03-13T00:00:00.000Z | title=[Bug]: Bug Report: OpenClaw 2026.3.11 breaks all Tool Execution for `moonshotai/kimi-k2.5` via `openai-completions` · Issue #44549 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/44549 | evidence=[Bug]: Bug Report: OpenClaw 2026.3.11 breaks all Tool Execution for `moonshotai/kimi-k2.5` via `openai-completions` · Issue #44549 · openclaw/openclaw | The GitHub issue reports a regression in OpenClaw version 2026.3.11, where using the `moonshotai/kimi-k2.5` model via `openai-…

Item#7 | theme=Cron / 调度回归 | date=2026-03-13T00:00:00.000Z | title=[WebUI] Use responsive CSS Tooltips for Chat Controls · Pull Request #44953 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/44953 | evidence=[WebUI] Use responsive CSS Tooltips for Chat Controls · Pull Request #44953 · openclaw/openclaw | This pull request introduces a technical update to the openclaw/openclaw WebUI by replacing native `title` attribute tooltips on chat control icons with custom, CSS-based tooltips u…

Item#8 | theme=安全 / Secret / Auth | date=2026-03-12T00:00:00.000Z | title=fix(wizard): warn user when auth is skipped during onboarding · Pull Request #44217 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/44217 | evidence=fix(wizard): warn user when auth is skipped during onboarding · Pull Request #44217 · openclaw/openclaw | This pull request addresses a user experience issue in the openclaw project where skipping authentication during onboarding results in a non-functional agent without clear f…

Item#9 | theme=Cron / 调度回归 | date=2026-03-12T00:00:00.000Z | title=[Bug] v2026.3.11: doctor --fix loops false legacy cron payload kind normalization · Issue #43796 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/43796 | evidence=[Bug] v2026.3.11: doctor --fix loops false legacy cron payload kind normalization · Issue #43796 · openclaw/openclaw | The GitHub issue reports that in OpenClaw version v2026.3.11, running `doctor --fix` repeatedly flags a legacy cron payload normalization issue, even when all j…
