Item#1 | theme=Workspace / 配置 / 路由 | date=2026-03-12T00:00:00.000Z | title=feat(tts): add CLI provider support · Pull Request #43939 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43939 | evidence=feat(tts): add CLI provider support · Pull Request #43939 · openclaw/openclaw | This pull request introduces a significant technical update to the openclaw project by adding support for a CLI provider in the text-to-speech (TTS) module. Previously, users relied solely on cloud-b…

Item#2 | theme=其他条目 | date=2026-03-12T00:00:00.000Z | title=Edit tool silently wipes file to 0 bytes while reporting success · Issue #43858 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/43858 | evidence=Edit tool silently wipes file to 0 bytes while reporting success · Issue #43858 · openclaw/openclaw | The GitHub issue reports a bug in the openclaw/openclaw project where the `Edit` tool unexpectedly deletes file content, resulting in a 0-byte file, despite indicating success. …

Item#3 | theme=Cron / 调度回归 | date=2026-03-12T00:00:00.000Z | title=[Bug]: isolated cron job sessions with kimi-coding/k2p5 as a model can't use tools · Issue #44269 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/44269 | evidence=[Bug]: isolated cron job sessions with kimi-coding/k2p5 as a model can't use tools · Issue #44269 · openclaw/openclaw | This GitHub issue reports a regression introduced in openclaw version 2026.3.2, where isolated cron job sessions using the kimi-coding/k2p5 model can no longer…

Item#4 | theme=安全 / Secret / Auth | date=2026-03-11T05:58:27.690Z | title=macOS Release - OpenClaw | url=https://docs.openclaw.ai/platforms/mac/release | evidence=macOS Release - OpenClaw | The webpage provides documentation for the macOS release of OpenClaw, focusing on its integration with Sparkle for auto-updates. It details prerequisites such as fetching Sparkle tools via SwiftPM, installing dependencies with pnpm, and configuring not…

Item#5 | theme=安全 / Secret / Auth | date=2026-03-11T00:00:00.000Z | title=fix(auth): clear stale expiry display for auto-renewable OAuth profiles · Pull Request #43122 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43122 | evidence=fix(auth): clear stale expiry display for auto-renewable OAuth profiles · Pull Request #43122 · openclaw/openclaw | This pull request addresses a bug in the OpenClaw project related to OAuth profile expiry display. Previously, the system incorrectly showed stale expiry informati…

Item#6 | theme=其他条目 | date=2026-03-11T00:00:00.000Z | title=fix(models): enable tool call ID sanitization for non-OpenAI providers using Responses API · Pull Request #43335 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43335 | evidence=fix(models): enable tool call ID sanitization for non-OpenAI providers using Responses API · Pull Request #43335 · openclaw/openclaw | This pull request addresses a bug related to the Responses API in the openclaw project. It enables sanitization of tool call IDs for non-OpenAI …

Item#7 | theme=Cron / 调度回归 | date=2026-03-11T00:00:00.000Z | title=[Bug]: Cron jobs enqueued but never execute — lane never dispatches, runningAtMs written on enqueue causes permanent stale marker loop · Issue #42960 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/42960 | evidence=[Bug]: Cron jobs enqueued but never execute — lane never dispatches, runningAtMs written on enqueue causes permanent stale marker loop · Issue #42960 · openclaw/openclaw | This GitHub issue reports a regression in the openclaw/openclaw project where cron jobs are enqueued succes…

Item#8 | theme=Workspace / 配置 / 路由 | date=2026-03-11T00:00:00.000Z | title=[Bug]: openai-responses fails with "Invalid input[n].id: string too long" after tool calls / session startup · Issue #43305 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/43305 | evidence=[Bug]: openai-responses fails with "Invalid input[n].id: string too long" after tool calls / session startup · Issue #43305 · openclaw/openclaw | This GitHub issue reports a regression in the openclaw/openclaw project where sessions fail with a "Invalid input[n].id: string too l…

Item#9 | theme=社区技术讨论 / 生态兼容 | date=2026-03-11T00:00:00.000Z | title=企业微信的大哥们，你们发 openclaw 插件版本规则搞错了 - V2EX | url=https://www.v2ex.com/t/1197469 | evidence=企业微信的大哥们，你们发 openclaw 插件版本规则搞错了 - V2EX | The webpage discusses an issue with the versioning rules of the openclaw plugin used in WeChat Work (企业微信). The user highlights a problem where the plugin's prerelease version (1.0.7-beta.1) is not installed by default, as npm requires ex…
