Item#1 | theme=社区热度 / 舆情 | date=2026-03-13T00:00:00.000Z | title=市值暴涨 3500 亿、小马哥疯狂转发……OpenClaw 怎么成了腾讯 AI 的「战争转折点」-36氪 | url=https://www.36kr.com/p/3718513542149511 | evidence=市值暴涨 3500 亿、小马哥疯狂转发……OpenClaw 怎么成了腾讯 AI 的「战争转折点」-36氪 | The article discusses OpenClaw's rapid rise in market value, increasing by 350 billion yuan, and its significance as a potential turning point in Tencent's AI strategy. OpenClaw has garnered significant attention within the …

Item#2 | theme=生态扩展 / 兼容 | date=2026-03-13T00:00:00.000Z | title=OpenClaw 上，正在长出一整个“AI 硬件”生态-36氪 | url=https://m.36kr.com/p/3715194472771968 | evidence=OpenClaw 上，正在长出一整个“AI 硬件”生态-36氪 | The article discusses OpenClaw, a platform that is fostering the development of an extensive AI hardware ecosystem in China. It highlights the growing community engagement and positive user sentiment toward OpenClaw’s initiatives, which aim to a…

Item#3 | theme=社区热度 / 舆情 | date=2026-03-13T00:00:00.000Z | title=全网爆火的「养龙虾」怎么玩？OpenClaw 从 0 到 1 安装、使用以及卸载保姆级教程，新手零门槛上手（附教程下载） - 掘金 | url=https://juejin.cn/post/7616264948046217216 | evidence=全网爆火的「养龙虾」怎么玩？OpenClaw 从 0 到 1 安装、使用以及卸载保姆级教程，新手零门槛上手（附教程下载） - 掘金 | OpenClaw is a rapidly popularized self-hosted AI gateway that connects various messaging platforms (like WhatsApp, Telegram, Discord, iMessage) with AI agents capable of performing active tasks such as managing …

Item#4 | theme=用户反馈 / 使用体验 | date=2026-03-13T00:00:00.000Z | title=接入且慢 MCP，一句话让你的 OpenClaw 变身“全栈 AI 投顾”大家最近是不是都被这只赛博龙虾 OpenCla - 掘金 | url=https://juejin.cn/post/7616180607489376319 | evidence=接入且慢 MCP，一句话让你的 OpenClaw 变身“全栈 AI 投顾”大家最近是不是都被这只赛博龙虾 OpenCla - 掘金 | The article discusses the rising popularity of OpenClaw, an AI-powered "cyber lobster," highlighting its diverse applications—from entertainment and coding assistance to becoming a full-stack AI investment advis…

Item#5 | theme=项目发布 / 动态 | date=2026-03-13T00:00:00.000Z | title=中国正在卷起一场OpenClaw风暴-36氪 | url=https://www.36kr.com/p/3712327060943241 | evidence=中国正在卷起一场OpenClaw风暴-36氪 | The article discusses China's emerging OpenClaw movement, which is sparking significant interest within the AI open source community. It highlights how this initiative is gaining momentum among developers and organizations, leading to a surge in collabor…

Item#6 | theme=项目发布 / 动态 | date=2026-03-13T00:00:00.000Z | title=老黄杀入OpenClaw战场，最强开源“龙虾”模型直逼Opus 4.6-36氪 | url=http://www.36kr.com/p/3719617426732416 | evidence=老黄杀入OpenClaw战场，最强开源“龙虾”模型直逼Opus 4.6-36氪 | The article discusses the emergence of "Lobster," an open-source AI model developed by Huang Laohuang, which is rapidly gaining attention in the AI community. Positioned as a strong competitor to proprietary models like Opus 4.6, Lobster…

Item#7 | theme=大厂 / AI 大厂实践应用 | date=2026-03-12T00:00:00.000Z | title=小龙虾（OpenClaw）本地安装部署教程简介 OpenClaw 是一个开源的 AI Agent 框架，它能够 24/7 - 掘金 | url=https://juejin.cn/post/7616141196218351658 | evidence=小龙虾（OpenClaw）本地安装部署教程简介 OpenClaw 是一个开源的 AI Agent 框架，它能够 24/7 - 掘金 | OpenClaw is an open-source AI agent framework capable of continuous, autonomous operation on local machines, supporting multi-channel interfaces like web, terminal, and messaging apps. It boasts a rich ecosystem…

Item#8 | theme=大厂 / AI 大厂实践应用 | date=2026-03-12T00:00:00.000Z | title=腾讯版OpenClaw发布：最适合小白养龙虾的版本📖 简介 WorkBuddy 是腾讯推出的全场景职场 AI 智能体， - 掘金 | url=https://juejin.cn/post/7616222207401263155 | evidence=腾讯版OpenClaw发布：最适合小白养龙虾的版本📖 简介 WorkBuddy 是腾讯推出的全场景职场 AI 智能体， - 掘金 | The article introduces WorkBuddy, Tencent's all-in-one workplace AI assistant designed for ease of use, especially for beginners. It allows users to give natural language commands to automate complex tasks such …

Item#9 | theme=用户反馈 / 使用体验 | date=2026-03-12T00:00:00.000Z | title=OpenClaw 到底能干什么？可以看看这 60 个真实用例 - 少数派 | url=https://sspai.com/post/107125 | evidence=OpenClaw 到底能干什么？可以看看这 60 个真实用例 - 少数派 | The article highlights the diverse practical applications of OpenClaw, emphasizing that its main challenge isn't technical difficulty but the lack of awareness about its potential uses. A GitHub repository showcases over 60 real-world use c…
