Item#1 | theme=Workspace / 配置 / 路由 | date=2026-03-12T00:00:00.000Z | title=feat(tts): add CLI provider support · Pull Request #43939 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43939 | evidence=feat(tts): add CLI provider support · Pull Request #43939 · openclaw/openclaw | This pull request introduces a significant technical update to the openclaw project by adding CLI provider support for text-to-speech (TTS). It addresses an issue where users relied solely on cloud T…

Item#2 | theme=Cron / 调度回归 | date=2026-03-12T00:00:00.000Z | title=Cron isolated session jobs still failing in 2026.3.11 - enqueued but never executed · Issue #44257 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/44257 | evidence=Cron isolated session jobs still failing in 2026.3.11 - enqueued but never executed · Issue #44257 · openclaw/openclaw | The GitHub issue reports a regression introduced in openclaw version 2026.3.11 where cron jobs configured with `sessionTarget: "isolated"` are enqueued succes…

Item#3 | theme=其他条目 | date=2026-03-12T00:00:00.000Z | title=Edit tool silently wipes file to 0 bytes while reporting success · Issue #43858 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/43858 | evidence=Edit tool silently wipes file to 0 bytes while reporting success · Issue #43858 · openclaw/openclaw | The GitHub issue reports a bug in the openclaw/openclaw project where the `Edit` tool unexpectedly deletes the entire file content, reducing it to 0 bytes, despite correctly mat…

Item#4 | theme=Cron / 调度回归 | date=2026-03-12T00:00:00.000Z | title=[Bug]: isolated cron job sessions with kimi-coding/k2p5 as a model can't use tools · Issue #44269 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/issues/44269 | evidence=[Bug]: isolated cron job sessions with kimi-coding/k2p5 as a model can't use tools · Issue #44269 · openclaw/openclaw | This GitHub issue reports a regression introduced in openclaw version 2026.3.2, where isolated cron job sessions using the kimi-coding/k2p5 model can no longer…

Item#5 | theme=其他条目 | date=2026-03-12T00:00:00.000Z | title=runtime: default to Node v24 (LTS) while keeping Node v22.16+ compatibility · Pull Request #44016 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/44016 | evidence=runtime: default to Node v24 (LTS) while keeping Node v22.16+ compatibility · Pull Request #44016 · openclaw/openclaw | This pull request (PR #44016) for the openclaw/openclaw repository updates the default runtime environment to Node.js v24 (LTS), ensuring compatibility with No…

Item#6 | theme=安全 / Secret / Auth | date=2026-03-11T08:01:11.865Z | title=macOS Release - OpenClaw | url=https://docs.openclaw.ai/platforms/mac/release | evidence=macOS Release - OpenClaw | The webpage provides documentation for the macOS release of OpenClaw, focusing on its Sparkle-based auto-update system. It details prerequisites such as fetching Sparkle tools via SwiftPM, installing dependencies with pnpm, and setting up notarization …

Item#7 | theme=安全 / Secret / Auth | date=2026-03-11T00:00:00.000Z | title=fix(auth): clear stale expiry display for auto-renewable OAuth profiles · Pull Request #43122 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43122 | evidence=fix(auth): clear stale expiry display for auto-renewable OAuth profiles · Pull Request #43122 · openclaw/openclaw | This pull request addresses a bug in the OpenClaw project related to OAuth profile expiry display. Previously, the system incorrectly showed stale expiry informati…

Item#8 | theme=Workspace / 配置 / 路由 | date=2026-03-11T00:00:00.000Z | title=feat(push): add iOS APNs relay gateway · Pull Request #43369 · openclaw/openclaw | url=https://github.com/openclaw/openclaw/pull/43369 | evidence=feat(push): add iOS APNs relay gateway · Pull Request #43369 · openclaw/openclaw | This pull request introduces a significant technical update to the openclaw project by adding an iOS APNs relay gateway. It enhances the push notification system by integrating relay-backed APNs r…

Item#9 | theme=社区技术讨论 / 生态兼容 | date=2026-03-11T00:00:00.000Z | title=企业微信的大哥们，你们发 openclaw 插件版本规则搞错了 - V2EX | url=https://www.v2ex.com/t/1197469 | evidence=企业微信的大哥们，你们发 openclaw 插件版本规则搞错了 - V2EX | The webpage discusses an issue with the versioning rules of the openclaw plugin used in WeChat Work (企业微信). The user highlights a problem where the plugin's prerelease version (1.0.7-beta.1) is not installed by default because npm require…
